V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,3,6,8,9,11,12,16,19,21,98.454810893382,63.7967441886128
3,4,5,7,9,10,15,19,20,21,40.8190464850895,170.41067696924
1,2,3,9,11,15,16,19,20,21,77.1138288908855,125.288767370235
2,3,4,7,9,10,12,13,16,17,36.526469146015,191.633852011487
2,4,6,7,9,11,13,15,16,20,94.4616368904554,65.780515848159
1,4,8,9,10,11,12,14,15,18,84.1770072176504,125.364586339475
1,2,4,5,11,13,16,18,19,20,1.352032939505,NA
2,5,7,8,9,11,13,16,18,21,90.9336886896713,121.407936642914
1,4,6,8,9,13,14,15,16,21,69.3850110051071,116.310143103023
3,6,7,8,9,12,13,14,16,21,67.4721871724046,112.235639895055
1,2,3,4,5,9,11,14,18,21,22.6149566104646,151.452738561262
1,2,3,5,10,11,12,15,16,17,71.8769044311037,121.710157036527
1,4,5,6,7,8,12,17,19,20,67.8423269139595,117.052419729831
6,7,8,9,12,13,15,16,19,20,68.1427131449111,122.146652182154
1,5,10,11,12,13,16,17,18,21,68.7441145786896,116.84402193701
1,4,5,6,7,9,11,14,16,19,47.3419097387954,69.1244177941761
1,2,4,6,10,13,15,16,18,20,52.8596284187864,118.613699463831
5,7,10,12,13,14,15,17,19,20,47.7933738831496,161.338292862747
1,6,8,9,11,12,13,17,18,19,87.2814540335997,75.3536150445052
1,4,8,9,12,14,15,17,18,19,22.3780192640829,Inf
3,9,10,14,16,17,18,19,20,21,57.1313202821269,170.698298238313
2,6,7,8,11,14,15,18,19,21,1.30870085216478,98.2239315437762
1,2,6,7,11,12,13,15,17,20,74.7687106777669,70.35744348957
1,2,3,7,11,13,14,16,20,21,86.0119427330094,115.981989316144
4,5,6,7,11,12,13,14,18,19,20.0559664081676,84.150684875629
1,4,6,7,8,9,11,15,17,19,36.213007334378,67.006637723273
1,3,6,10,11,12,16,17,19,21,99.8007570908295,50.5347322708135
5,6,9,10,11,12,15,17,19,20,87.0218015639562,60.0548568589541
3,4,7,10,14,16,17,18,19,20,22.2697406147664,175.180488267942
4,7,9,12,13,14,16,17,18,19,33.8210668157849,183.026404933246
2,3,6,7,9,10,14,15,18,19,76.071701489405,123.551025599852
3,4,12,13,14,15,16,17,19,20,12.7237381843614,172.16368990644
1,2,4,6,7,9,14,15,16,21,64.3839279226717,113.930263281748
1,3,4,6,11,14,17,18,19,20,97.7045685092993,70.9984927311173
1,4,6,7,11,12,13,14,16,18,38.051922656136,69.0623752405085
2,5,7,10,12,14,15,17,19,21,36.2497669215541,181.495133336305
3,7,10,11,12,13,16,17,18,21,56.0230338127045,112.370325136904
2,8,9,10,12,14,15,17,19,20,38.379602534353,213.22486952196
1,2,3,4,5,7,11,13,14,21,94.702073840953,116.518839678397
3,5,6,7,12,14,15,16,17,21,61.7363298243851,115.083433089715
1,2,6,7,8,9,11,12,20,21,22.6422200982965,Inf
3,6,7,8,9,11,13,14,18,20,14.6320376413965,79.6206081411871
1,4,5,7,8,15,17,18,20,21,29.2015370357622,Inf
2,5,7,8,10,13,14,15,19,20,39.8963428401262,183.459476336947
3,6,7,8,10,11,14,16,18,19,34.9995880076837,63.7919641475756
2,6,7,8,11,13,15,17,19,21,113.720914011632,66.200526915369
1,2,6,9,10,15,18,19,20,21,28.3366979879904,152.476668597181
2,4,5,8,10,11,13,19,20,21,36.1648871948345,148.294383206472
2,3,4,6,8,10,15,17,18,20,60.5584099816131,124.014885667683
1,4,5,7,8,11,12,13,15,16,92.3355434726126,113.58005418721
1,3,8,9,10,12,13,14,17,18,31.8422215395669,Inf
4,5,8,9,11,12,14,15,19,20,77.7527416776677,133.428730113956
2,3,7,8,9,10,12,13,17,20,8.59455868194151,242.537122242265
3,5,6,10,12,15,16,17,19,20,70.355464877257,123.493864450812
3,7,8,9,10,14,15,17,18,20,3.3069619148075,158.738436199168
1,3,7,8,11,12,14,16,18,21,37.6316874593042,126.536523643601
1,2,6,7,9,10,13,17,18,19,85.8709327529318,117.647332874457
2,3,6,7,8,9,10,15,16,19,77.5110299706687,113.483625329691
5,8,9,10,12,15,17,18,20,21,1.6111094928776,202.839427767581
1,3,4,5,10,12,13,14,15,18,32.5936540562267,159.591864387097
1,2,6,9,10,13,15,16,18,21,71.6718700775607,114.448455653802
1,6,7,8,9,12,14,16,18,20,76.3265161113772,118.61286091238
2,3,4,5,7,10,13,17,20,21,54.3051773153448,154.186142592334
1,2,7,8,11,13,15,16,18,19,80.5389609736829,122.311833315781
3,4,5,6,7,8,9,11,15,21,17.8866444648999,55.0532062168899
5,7,10,11,13,14,15,16,19,20,78.9008036710347,121.639616040483
2,4,6,8,9,10,13,15,20,21,55.9672317836735,Inf
1,2,6,7,10,11,13,17,18,21,42.700717539171,44.9268065378642
2,8,9,10,11,13,16,18,20,21,1.60205733138382,Inf
4,5,9,11,12,14,15,16,18,21,1.58328374612451,187.922378783801
2,3,4,7,9,10,13,17,19,20,28.8023968256673,195.452171708274
1,3,6,8,9,11,14,15,18,21,1.87173489150205,83.029238407287
1,2,3,4,5,6,9,16,20,21,70.6078982616319,123.505924143136
2,3,6,9,13,14,15,18,19,21,70.9295959904398,131.795158763157
4,7,9,10,11,13,14,16,18,20,43.7007212510903,143.512384063614
2,3,7,9,10,11,16,17,19,21,7.82308142631484,212.192247310942
3,4,6,7,11,13,14,17,20,21,89.1808409665906,57.1051462588133
2,3,6,7,9,11,16,19,20,21,6.73565025389607,NA
5,6,8,9,11,14,17,18,19,21,17.4240537492558,80.2241361707173
1,2,5,6,7,8,11,14,15,18,118.059142373728,77.9673437930929
2,3,6,7,10,11,12,14,18,20,109.432802374584,58.7041127787726
1,2,3,8,9,12,13,16,20,21,5.61861396531176,Inf
1,2,4,7,10,11,16,17,18,19,82.7745223324873,117.032798138899
4,6,8,9,11,12,13,17,19,20,80.7806168298008,71.4101604765299
4,7,9,10,12,13,14,16,17,20,51.1829991576267,156.456848345625
1,4,5,6,7,8,9,11,17,20,41.7983917759013,67.444264753391
1,2,3,5,9,10,14,15,17,19,28.2692540204464,Inf
2,3,5,6,10,12,14,15,18,20,66.7929929687431,121.523192748127
1,2,3,5,8,9,14,15,19,20,27.0600413544854,Inf
1,3,7,9,10,11,14,17,19,20,77.8347106276198,121.138178442096
2,4,6,8,9,15,16,17,18,20,67.8360428711522,120.270907274236
2,3,5,6,9,13,16,17,18,20,78.9905789339254,120.400887305522
1,2,3,7,9,10,14,15,18,19,37.7440171358503,Inf
1,6,7,9,10,11,13,14,15,21,104.563370983136,46.1029283234807
4,5,6,7,11,16,17,19,20,21,75.0084022909402,56.6352033401398
1,3,11,13,14,15,17,19,20,21,78.5231305046171,123.079779593664
1,3,4,5,6,8,13,15,16,19,72.5258506289254,115.20229753303
1,2,5,7,8,11,16,17,18,19,73.1064512539923,122.60193580657
1,3,4,5,10,11,12,16,18,19,91.663943970952,120.722992935146
5,7,8,9,10,12,14,15,18,21,33.2168501191704,162.739777429745
3,4,6,10,13,15,18,19,20,21,57.9482491383613,121.74478597136
1,3,7,8,9,12,14,19,20,21,39.984355286079,Inf
1,2,3,4,5,15,17,18,19,20,18.5681969127597,242.470620587524
4,5,6,10,11,12,13,17,18,19,4.85356512684806,85.0702277256656
1,4,8,9,14,15,16,17,18,19,28.3700278064458,Inf
3,5,6,8,9,12,14,16,19,20,62.0213870838182,121.586034517274
1,6,9,12,13,15,16,17,20,21,64.8247037677993,120.248934155983
1,5,7,9,12,13,16,18,20,21,29.3908591845321,Inf
2,4,7,8,12,14,16,18,19,21,41.6369232641978,290.61732227264
3,5,6,11,13,14,15,16,18,20,104.255076655285,71.845025478111
3,4,6,8,9,12,17,18,19,20,60.5594152677939,122.126944261152
1,2,4,10,13,16,17,18,20,21,4.28212174388931,Inf
6,7,8,11,12,14,15,16,18,21,28.0294637706486,72.2481480691168
2,5,6,9,12,13,14,17,20,21,51.4556436340404,129.958538414669
