V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,6,7,8,10,16,17,18,21,22,1511.69856132085,3136.52311320504
1,3,6,8,9,10,12,14,17,19,22,1344.24300490435,3693.20209130085
2,3,4,6,12,15,16,17,18,19,20,912.976261693143,3159.04533259686
2,5,6,7,8,14,15,16,19,20,22,1518.56530675265,1494.45486896457
4,6,7,9,11,12,15,17,20,21,22,755.486138376985,3477.3441509239
1,4,7,8,9,10,13,14,15,17,22,1085.38763104061,4061.91837941004
1,2,3,4,5,6,10,12,15,19,22,728.053087005909,3479.0130033563
3,4,5,6,8,10,11,12,13,20,21,1733.09219749267,3546.26545738117
1,2,5,6,7,8,9,13,18,20,21,105.967362559873,Inf
2,5,6,7,8,9,11,12,16,17,18,1650.32419886377,2363.70576821179
1,7,8,9,10,13,14,16,17,20,21,1317.6789846084,3129.20323096224
5,6,8,9,10,11,13,17,19,20,21,461.011825386813,3606.222654064
4,5,7,8,10,11,12,15,16,17,22,2008.75636921405,2606.27969234132
3,4,6,8,9,10,12,13,15,16,19,1710.23997267046,3670.73479024013
2,4,5,6,8,11,12,15,18,19,22,1236.12575149062,3417.03124978152
2,4,6,7,8,10,13,18,19,21,22,1040.00892181684,3705.61909337409
1,6,8,11,13,14,15,16,18,20,21,41.2662726154682,5125.54491471019
5,6,10,12,14,15,16,17,18,19,21,286.647564193095,1959.59536926729
1,2,5,9,10,13,15,16,18,19,20,995.306224234532,2625.69306395772
2,4,6,7,8,13,14,17,20,21,22,1120.67697897947,3580.79470148944
2,3,4,6,7,9,14,15,16,19,20,1331.59391635843,2892.36753341747
1,2,3,7,8,12,13,14,16,18,21,1737.66857153588,2933.426262961
3,4,5,7,9,10,12,14,17,18,22,1994.87315555801,3147.87423221103
1,5,6,7,8,12,13,14,15,19,20,1431.29816871464,3098.18130665571
4,6,7,8,9,11,14,16,17,18,20,1309.64279271255,2881.52220734197
1,2,4,7,11,12,13,17,18,20,22,385.926540168357,Inf
1,4,5,8,11,15,17,18,19,20,21,1458.32396639291,3588.24198074721
1,5,8,10,13,14,15,17,18,19,20,1405.01807265504,3351.24257453686
1,4,5,13,14,15,16,17,18,20,21,1394.33220049748,2038.02546233455
3,4,6,7,9,10,12,15,16,19,20,17.9877480612151,8620.79590739462
3,6,7,8,10,12,13,15,16,19,22,1032.07516356096,3386.10531953448
1,2,5,7,8,12,13,14,15,17,19,270.007512920291,Inf
1,3,6,8,11,13,15,16,18,20,22,1377.7612383324,3280.59063670246
1,4,8,11,12,13,14,17,18,19,22,1018.97498140493,4278.70494162896
1,3,9,10,11,13,15,16,18,20,21,1440.42667984177,3547.15128006969
1,2,3,4,5,6,8,12,14,15,22,459.170101561283,Inf
1,4,6,7,8,13,15,16,17,18,22,1100.03709304279,3203.31786420025
1,2,3,7,8,9,10,12,13,21,22,344.825293891045,Inf
1,2,5,6,8,9,16,18,19,21,22,1441.05424406795,2437.33177847151
1,3,6,8,9,11,14,15,16,20,21,1311.80767923026,3128.12033264337
1,4,7,8,9,11,12,15,17,19,20,483.512175892328,3357.17002197258
1,3,7,8,9,12,14,16,18,20,22,29.0209420601237,4396.19780964624
1,2,3,7,10,11,16,19,20,21,22,1624.8624368215,3273.84817925732
1,3,5,6,9,11,12,14,20,21,22,1633.76183474585,3018.89273390808
1,3,4,5,7,9,11,16,18,19,21,1335.91396104169,2614.40006549865
1,2,5,6,8,9,12,13,14,16,17,1259.25136703198,1734.6781109936
4,5,6,9,11,12,15,16,17,21,22,1890.53397655128,2514.51148665679
1,3,4,8,9,10,11,13,14,18,21,753.398714846457,3856.72532406597
1,2,4,8,9,12,13,15,17,19,22,590.478827437351,4415.13436640234
1,2,3,7,8,10,11,14,18,19,20,724.442029978904,3706.05055772762
1,3,4,7,8,9,10,11,16,17,20,1562.81073728587,3544.94201656761
1,6,9,10,11,13,16,18,19,21,22,1519.44649481047,3305.11728452453
1,2,4,5,6,11,13,14,15,16,19,1533.56661945527,1788.9658169498
3,5,6,7,11,13,16,17,18,20,22,2088.72718906477,1977.22629830547
1,2,7,8,9,10,13,15,17,19,21,505.984335063205,3914.40815790384
1,3,4,5,6,8,11,14,18,21,22,1333.52253921888,3089.46629695163
1,2,3,8,9,12,14,16,17,19,20,820.348526573518,2664.15168057832
1,4,5,6,7,8,9,10,12,16,22,1676.79034955561,2504.25748220707
1,6,8,11,12,14,15,16,17,20,21,1957.66010230832,3072.3267409743
1,3,5,7,9,10,11,14,16,21,22,2074.50660692349,1834.81081511766
1,2,3,7,8,11,12,14,18,19,22,658.419420988683,3973.66624363018
1,3,4,5,8,10,11,14,18,20,21,1089.92336778397,3277.4449838809
4,5,6,7,9,12,14,15,16,19,20,1222.3239808919,1870.47158945068
2,3,5,6,7,8,10,13,16,18,19,1497.58883747925,2287.79924615025
1,2,3,4,5,6,7,10,17,21,22,46.4573583424224,NA
1,3,4,7,10,14,15,16,19,20,22,1094.40096110213,2651.62518838313
