V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,pred1,pred2,pred3,pred4,pred5
1,2,3,4,8,9,12,14,15,19,RY_Wet_BFL_Dur,BY_recon_120,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,BY_tot_flow_sepdec
3,4,6,7,10,14,15,16,20,21,log_BY_tot_flow_sepdec,RY_Wet_Tim,RY_recon_120,RY_Wet_BFL_Mag_50,RY_DS_Mag_90
2,3,5,6,8,10,11,12,14,15,log_RY_tot_flow,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,BY_min_flow_sepdec,RY_SP_Tim
2,3,5,7,8,9,11,18,20,21,RY_SP_ROC,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_recon_120,BY_num_days_gt_90_pctile
2,4,6,8,12,16,18,19,20,21,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_Tim,RY_DS_Dur_WS,BY_min_flow_sepdec
1,3,4,6,8,9,10,15,16,19,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,BY_min_flow_sepdec,RY_Wet_BFL_Mag_50,RY_Wet_Tim
4,5,7,8,9,13,14,15,17,20,RY_DS_Dur_WS,RY_recon_120,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,log_BY_tot_flow_sepdec
1,3,5,6,10,11,14,16,17,21,RY_num_days_gt_90_pctile,RY_tot_flow,log_RY_tot_flow,BY_num_days_gt_90_pctile,RY_recon_120
2,3,7,8,9,13,15,16,18,21,RY_Wet_BFL_Mag_50,BY_recon_120,RY_DS_Dur_WS,RY_Wet_BFL_Dur,RY_Wet_Tim
1,2,3,7,8,13,15,16,19,20,BY_recon_120,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,RY_SP_Tim,RY_SP_ROC
1,2,5,7,9,10,11,14,16,17,RY_Wet_BFL_Mag_50,RY_DS_Mag_90,RY_SP_ROC,BY_min_flow_sepdec,RY_DS_Dur_WS
1,4,6,9,10,12,16,17,18,19,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_Wet_Tim
4,5,6,10,11,12,14,17,18,20,log_BY_tot_flow_sepdec,RY_recon_120,log_RY_tot_flow,BY_min_flow_sepdec,RY_DS_Dur_WS
1,2,6,11,13,14,15,17,18,19,log_BY_tot_flow_sepdec,RY_DS_Mag_90,log_RY_tot_flow,RY_DS_Dur_WS,RY_Wet_BFL_Dur
1,3,4,6,7,10,11,12,13,17,log_BY_tot_flow_sepdec,RY_DS_Mag_90,RY_SP_Tim,RY_Wet_BFL_Dur,RY_discon_120
3,4,5,7,9,10,11,16,17,21,RY_DS_Mag_90,BY_min_flow_sepdec,RY_Wet_BFL_Mag_50,RY_SP_ROC,RY_SP_Tim
1,4,8,11,14,15,18,19,20,21,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,BY_min_flow_sepdec,RY_recon_20,RY_DS_Mag_90
2,3,5,8,9,11,12,13,16,20,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,RY_SP_ROC,RY_DS_Mag_50,RY_recon_120
1,4,6,8,12,13,15,16,18,19,log_BY_tot_flow_sepdec,RY_SP_Tim,RY_Wet_BFL_Dur,RY_recon_20,BY_recon_20
4,6,7,9,10,11,13,14,18,19,log_BY_tot_flow_sepdec,log_RY_tot_flow,RY_DS_Dur_WS,RY_DS_Mag_90,RY_discon_120
1,2,3,4,9,10,11,12,17,19,RY_SP_Tim,RY_SP_ROC,BY_num_days_gt_90_pctile,BY_tot_flow_sepdec,RY_Wet_BFL_Mag_50
1,3,4,7,13,15,18,19,20,21,RY_DS_Dur_WS,RY_Wet_BFL_Dur,log_BY_tot_flow_sepdec,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec
1,5,6,8,9,10,12,14,16,18,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_SP_Tim,RY_DS_Dur_WS,BY_min_flow_sepdec
3,8,9,11,12,14,15,16,17,20,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_Wet_BFL_Dur,RY_DS_Mag_90,RY_DS_Dur_WS
