V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
2,5,7,8,10,13,14,15,19,20,230700.217415965,264254.154458778
3,6,7,8,10,11,14,16,18,19,106564.438240571,341918.85689021
2,6,7,8,11,13,15,17,19,21,171708.882827951,380953.646091058
1,2,6,9,10,15,18,19,20,21,151828.347933884,430254.876343583
2,4,5,8,10,11,13,19,20,21,188496.865496763,241875.087026865
2,3,4,6,8,10,15,17,18,20,187639.549181924,387865.446916793
1,4,5,7,8,11,12,13,15,16,209654.730711803,298014.377055733
1,3,8,9,10,12,13,14,17,18,170029.509671463,393750.24850744
4,5,8,9,11,12,14,15,19,20,194168.699255707,286737.463420301
2,3,7,8,9,10,12,13,17,20,116002.869015639,359856.247054792
3,5,6,10,12,15,16,17,19,20,97745.830663398,306720.168659578
3,7,8,9,10,14,15,17,18,20,210517.253051437,362887.03029306
1,3,7,8,11,12,14,16,18,21,183574.898270876,395005.679077464
1,2,6,7,9,10,13,17,18,19,210691.755983644,340610.608965198
2,3,6,7,8,9,10,15,16,19,147233.792105872,371961.375876481
5,8,9,10,12,15,17,18,20,21,167372.016511854,290702.885299197
1,3,4,5,10,12,13,14,15,18,232449.370788799,282708.191758099
1,2,6,9,10,13,15,16,18,21,149638.954415762,394320.170894083
1,6,7,8,9,12,14,16,18,20,163916.538576105,416550.372319521
2,3,4,5,7,10,13,17,20,21,252224.244723901,268261.843414351
1,2,7,8,11,13,15,16,18,19,182865.991436745,395417.232162946
3,4,5,6,7,8,9,11,15,21,219115.442240322,303706.137897876
5,7,10,11,13,14,15,16,19,20,252046.549885085,199832.99067406
2,4,6,8,9,10,13,15,20,21,168487.973762756,387834.745633551
1,2,6,7,10,11,13,17,18,21,212640.155725658,324721.389072539
2,8,9,10,11,13,16,18,20,21,87818.5158063796,Inf
4,5,9,11,12,14,15,16,18,21,199324.399829522,292918.014290753
2,3,4,7,9,10,13,17,19,20,165371.953851593,341155.461888878
1,3,6,8,9,11,14,15,18,21,153398.291511797,392805.687308423
1,2,3,4,5,6,9,16,20,21,66223.1498931218,Inf
2,3,6,9,13,14,15,18,19,21,157821.219154565,Inf
4,7,9,10,11,13,14,16,18,20,9252.37751725207,593252.263352016
2,3,7,9,10,11,16,17,19,21,21262.0961975206,NA
3,4,6,7,11,13,14,17,20,21,180021.809506349,343716.478787577
2,3,6,7,9,11,16,19,20,21,172475.151603076,366882.099508958
5,6,8,9,11,14,17,18,19,21,230619.528835522,289237.558444035
1,2,5,6,7,8,11,14,15,18,189992.251721326,289887.25347604
2,3,6,7,10,11,12,14,18,20,39761.9905387145,Inf
1,2,3,8,9,12,13,16,20,21,102728.296865259,453982.737380626
1,2,4,7,10,11,16,17,18,19,240721.577806591,310664.404294078
4,6,8,9,11,12,13,17,19,20,149742.795503997,379861.598692481
4,7,9,10,12,13,14,16,17,20,153451.063571137,332905.635052137
1,4,5,6,7,8,9,11,17,20,221159.783554393,283014.854032426
1,2,3,5,9,10,14,15,17,19,175664.303866298,241634.983874551
2,3,5,6,10,12,14,15,18,20,213350.779527211,280808.980266879
1,2,3,5,8,9,14,15,19,20,163816.45447095,Inf
1,3,7,9,10,11,14,17,19,20,136068.984044646,437861.776252274
2,4,6,8,9,15,16,17,18,20,127950.821154935,624073.769110928
2,3,5,6,9,13,16,17,18,20,6365.45684582108,999961.815828279
