V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,4,5,8,10,11,14,15,16,19,22,590.181362469315,4874.48799334462,2
1,4,6,9,10,13,14,18,19,20,21,1320.49834559563,4192.91139673088,2
2,4,7,9,11,12,13,14,18,19,20,2252.62608749976,2781.44160066915,1
1,3,4,6,7,10,13,15,18,20,21,1120.33036251535,3811.71736746857,4
2,3,6,7,11,12,13,14,17,19,20,1455.14726445519,4408.6336181076,1
2,3,6,10,11,12,13,15,16,19,20,1567.43601893411,3185.16451758028,0
2,3,4,5,7,10,11,17,19,20,21,898.777588484943,3332.80135648634,2
1,2,5,9,12,13,14,15,18,21,22,733.654234032558,4129.13245769836,5
1,3,8,9,10,11,13,16,19,20,22,1932.9139454284,3030.81886309972,1
4,5,6,7,9,12,13,15,16,17,18,1288.50206068951,3981.21443190601,0
1,4,5,6,8,10,11,16,20,21,22,939.66170270597,3999.89608257637,2
2,3,4,6,7,9,10,12,13,17,22,2072.23189370952,2674.52999540592,0
3,4,5,7,12,13,15,16,18,19,21,1346.44123641329,3981.86269490395,0
4,6,10,11,12,13,15,16,18,19,20,1434.79518299346,3287.19003173261,0
3,4,6,7,8,10,16,17,18,21,22,883.733358927459,3582.64547058865,1
1,3,6,8,9,10,12,14,17,19,22,23.0824960315909,4489.76580897787,9
2,3,4,6,12,15,16,17,18,19,20,1589.10728666403,3299.05050683378,0
2,5,6,7,8,14,15,16,19,20,22,625.836549880101,4552.30521875154,1
4,6,7,9,11,12,15,17,20,21,22,1968.44260626864,4199.62235548599,0
1,4,7,8,9,10,13,14,15,17,22,2089.03768532414,2320.41476410321,0
1,2,3,4,5,6,10,12,15,19,22,162.659076714701,3318.72905990839,7
3,4,5,6,8,10,11,12,13,20,21,1104.09088483049,3367.24031165214,2
1,2,5,6,7,8,9,13,18,20,21,2541.92206977782,3302.00792467228,1
2,5,6,7,8,9,11,12,16,17,18,1412.22501073731,4044.09271408378,0
1,7,8,9,10,13,14,16,17,20,21,1441.3018668477,3469.02076667494,0
5,6,8,9,10,11,13,17,19,20,21,581.479836710796,3898.95045015231,2
4,5,7,8,10,11,12,15,16,17,22,1193.85966198646,3912.08772448415,0
3,4,6,8,9,10,12,13,15,16,19,1784.51036937408,3038.7142168826,0
2,4,5,6,8,11,12,15,18,19,22,2202.05092239957,3232.93836658192,0
2,4,6,7,8,10,13,18,19,21,22,2101.58653698259,3148.84944217046,0
1,6,8,11,13,14,15,16,18,20,21,1376.21003259016,3557.88634410425,0
5,6,10,12,14,15,16,17,18,19,21,830.167380535917,4335.84570252204,1
1,2,5,9,10,13,15,16,18,19,20,1710.47311442822,4140.79173456339,1
2,4,6,7,8,13,14,17,20,21,22,2026.9496099626,3232.58858173478,0
2,3,4,6,7,9,14,15,16,19,20,653.913749340903,4234.24873311482,3
1,2,3,7,8,12,13,14,16,18,21,1774.97512810823,3680.16918364313,0
3,4,5,7,9,10,12,14,17,18,22,1180.2615801005,3766.09314959693,2
1,5,6,7,8,12,13,14,15,19,20,2511.38613337483,3487.42124434127,0
4,6,7,8,9,11,14,16,17,18,20,950.364256607607,3715.63501970644,0
1,2,4,7,11,12,13,17,18,20,22,621.000054587271,7746.67740662397,5
1,4,5,8,11,15,17,18,19,20,21,876.034744166951,3392.58898249808,2
1,5,8,10,13,14,15,17,18,19,20,1768.27071607126,3592.03883496387,1
1,4,5,13,14,15,16,17,18,20,21,785.55988267307,4474.9053557178,0
3,4,6,7,9,10,12,15,16,19,20,1663.4555631787,3256.38111763732,0
3,6,7,8,10,12,13,15,16,19,22,1694.84750699155,3288.77376081755,0
1,2,5,7,8,12,13,14,15,17,19,2373.253268839,3444.40543912019,0
1,3,6,8,11,13,15,16,18,20,22,1571.94727813761,3351.54043799213,1
1,4,8,11,12,13,14,17,18,19,22,2019.41729326659,2724.74567849552,0
1,3,9,10,11,13,15,16,18,20,21,2113.35357615384,2996.72971314887,0
1,2,3,4,5,6,8,12,14,15,22,25.7028561638737,3966.39913655002,10
1,4,6,7,8,13,15,16,17,18,22,1134.02722147924,3443.70824355751,0
1,2,3,7,8,9,10,12,13,21,22,1954.88812204257,2087.04766803556,1
1,2,5,6,8,9,16,18,19,21,22,647.687754030698,4457.87995240721,4
1,3,6,8,9,11,14,15,16,20,21,524.848346322701,4935.27451383823,4
1,4,7,8,9,11,12,15,17,19,20,1732.76162084296,2746.42991569567,2
