V1,V2,V3,V4,V5,V6,pred1,pred2,pred3,pred4,pred5
1,2,4,6,10,12,wy2_Mean_Ann_Flow,s2_SP_ROC,s2_SP_Mag,d1_DS_Mag_90,w2_num_days_gt_90_pctile
1,2,4,6,10,13,w1_Wet_BFL_Mag_50,wy1_WY_Cat,d1_DS_Tim,f1_recon_120,s1_SP_Dur
1,2,4,6,11,12,s2_SP_ROC,d1_DS_Tim,d2_DS_Mag_90,s1_SP_ROC,f2_recon_120
1,2,4,6,11,13,s2_SP_ROC,d1_DS_Dur_WS,d1_DS_Tim,f2_FA_Dif_num,s1_SP_Dur
1,2,4,6,12,13,d1_DS_Tim,f1_recon_120,f2_FA_Dif_num,d1_DS_Dur_WS,s1_SP_ROC
1,2,4,7,8,9,s1_SP_Tim,f1_FA_Dif_num,s1_discon_120,s2_SP_Dur,d1_DS_Dur_WS
1,2,4,7,8,10,s1_SP_Tim,s1_SP_ROC,s1_discon_120,w2_Wet_Tim,d1_DS_Dur_WS
1,2,4,7,8,11,s1_SP_Tim,w1_Wet_Tim,s1_SP_ROC,f1_recon_20,s2_SP_ROC
1,2,4,7,8,12,s1_SP_Tim,d2_DS_Mag_90,d2_DS_Tim,f1_recon_120,w2_Wet_BFL_Mag_10
1,2,4,7,8,13,s1_SP_Tim,f1_recon_120,d1_DS_Dur_WS,w1_Wet_Tim,s2_SP_Dur
1,2,4,7,9,10,f1_FA_Dif_num,d2_DS_Mag_90,wy2_WY_Cat,s2_discon_120,s1_SP_ROC
1,2,4,7,9,11,f1_FA_Dif_num,d2_DS_Mag_90,d1_DS_Dur_WS,s1_discon_120,wy1_WY_Cat
1,2,4,7,9,12,d2_DS_Mag_90,w1_num_days_gt_90_pctile,s1_SP_Dur,s1_SP_ROC,f2_FA_Dif_num
1,2,4,7,9,13,d1_DS_Dur_WS,f2_FA_Dif_num,f2_recon_120,w2_Wet_BFL_Dur,w2_Wet_Tim
1,2,4,7,10,11,wy2_WY_Cat,s1_SP_ROC,s2_SP_Mag,w2_num_days_gt_90_pctile,f2_recon_20
1,2,4,7,10,12,d2_DS_Mag_90,s2_SP_Mag,d1_DS_Mag_90,w2_Wet_BFL_Mag_10,w1_Wet_BFL_Mag_10
1,2,4,7,10,13,w1_Wet_BFL_Mag_10,s2_discon_120,d1_DS_Dur_WS,f2_FA_Dif_num,d2_DS_Mag_50
1,2,4,7,11,12,d2_DS_Mag_90,f2_FA_Dif_num,w2_Wet_BFL_Mag_10,d1_DS_Mag_90,s2_SP_ROC
1,2,4,7,11,13,d1_DS_Dur_WS,f2_FA_Dif_num,f1_recon_120,f2_recon_120,w1_Wet_BFL_Mag_10
1,2,4,7,12,13,d2_DS_Mag_90,f2_FA_Dif_num,d1_DS_Dur_WS,f1_recon_120,s1_SP_ROC
1,2,4,8,9,10,f1_recon_120,w2_Wet_BFL_Mag_10,f1_FA_Dif_num,w2_num_days_gt_90_pctile,s2_SP_Mag
1,2,4,8,9,11,f1_recon_120,f1_FA_Dif_num,d2_DS_Mag_90,d2_DS_Tim,s2_SP_ROC
1,2,4,8,9,12,f1_recon_120,w2_Wet_BFL_Mag_10,d2_DS_Mag_90,s1_SP_Dur,f2_recon_20
1,2,4,8,9,13,f1_recon_120,d1_DS_Dur_WS,f2_recon_120,d2_DS_Dur_WS,f2_FA_Dif_num
1,2,4,8,10,11,f1_recon_120,w2_Wet_BFL_Mag_10,w2_num_days_gt_90_pctile,s1_SP_ROC,s2_SP_ROC
1,2,4,8,10,12,w2_Wet_BFL_Mag_10,f1_recon_120,d2_DS_Mag_90,d1_DS_Dur_WS,w2_Wet_BFL_Dur
