pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
log_BY_tot_flow_sepdec,BY_recon_50,2.00,0.17529,0.333,0.166,116.5
log_RY_tot_flow,BY_recon_50,0.21,0.96357,0.050,-0.188,120.4
log_SY_tot_flow_janjul,BY_recon_50,0.35,0.51665,0.080,-0.151,120.1
BY_FA_Mag,BY_recon_50,2.06,0.53881,0.508,0.262,81.3
BY_FA_Tim,BY_recon_50,2.31,0.03193,0.536,0.304,80.9
BY_FA_Dur,BY_recon_50,2.26,0.48514,0.531,0.296,81.0
RY_Wet_Tim,BY_recon_50,2.39,0.00593,0.374,0.217,115.8
RY_Wet_BFL_Dur,BY_recon_50,5.05,0.67529,0.558,0.447,112.0
RY_SP_ROC,BY_recon_50,0.24,0.74053,0.057,-0.179,120.3
RY_DS_Mag_50,BY_recon_50,1.26,0.05000,0.239,0.049,118.0
RY_DS_Mag_90,BY_recon_50,1.12,0.00948,0.219,0.024,118.3
RY_FA_Mag,BY_recon_50,1.44,0.08506,0.418,0.127,83.2
RY_FA_Tim,BY_recon_50,0.25,0.27482,0.113,-0.331,86.2
RY_FA_Dur,BY_recon_50,0.57,0.15910,0.223,-0.166,85.2
RY_Wet_BFL_Mag_50,BY_recon_50,0.32,0.07971,0.075,-0.156,120.1
RY_DS_Tim,BY_recon_50,0.77,0.57461,0.161,-0.048,119.0
RY_SP_Tim,BY_recon_50,1.61,0.79846,0.287,0.109,117.3
RY_DS_Dur_WS,BY_recon_50,0.29,0.37534,0.068,-0.165,120.2
SY_Wet_Tim,BY_recon_50,1.17,0.35649,0.227,0.034,118.2
SY_Wet_BFL_Dur,BY_recon_50,0.23,0.07093,0.055,-0.182,120.4
SY_SP_ROC,BY_recon_50,1.82,0.49005,0.313,0.141,116.9
BY_recon_10,BY_recon_80,5.20,0.01761,0.565,0.457,111.8
BY_recon_15,BY_recon_80,2.83,0.01949,0.414,0.268,115.1
BY_recon_20,BY_recon_80,1.20,0.03518,0.231,0.038,118.1
