pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_recon_50,RY_Wet_Tim,2.38724394,0.005925367,0.373751803,0.217189754,115.8370503,1226,11
BY_tot_flow_sepdec,log_BY_tot_flow_sepdec,2.961592458,0.119683449,0.425418821,0.281773527,114.8898911,1226,11
BY_recon_15,SY_discon_100,2.795265878,0.465257242,0.411354894,0.264193618,115.1558939,1227,11
BY_recon_100,SY_tot_flow_janjul,3.562471428,0.002238174,0.471072382,0.338840477,113.9792033,1228,11
BY_recon_10,RY_FA_Mag,2.445392499,0.016642065,0.55009597,0.325143955,81.40618937,1230,7
RY_discon_15,RY_Wet_Tim,3.007739181,0.720392355,0.429202501,0.286503126,114.8172153,1230,11
BY_FA_Tim,RY_DS_Mag_90,8.620461304,0.004428942,0.811684263,0.717526394,74.58620036,1230,7
BY_recon_100,log_SY_tot_flow_janjul,3.24469416,0.468868742,0.447871793,0.309839741,114.4514188,1233,11
BY_recon_15,SY_discon_80,2.792076393,0.513251277,0.411078473,0.263848091,115.1610581,1234,11
RY_discon_80,RY_Wet_Tim,2.439245842,0.966097989,0.378809243,0.223511554,115.7478561,1238,11
RY_recon_15,RY_Wet_BFL_Dur,3.015480885,0.781022868,0.429832386,0.287290482,114.8050699,1244,11
BY_tot_flow_sepdec,RY_SP_Tim,3.029959928,0.31849419,0.431006714,0.288758393,114.7823907,1249,11
tot_flow_CFLP,log_BY_tot_flow_sepdec,2.409094906,0.095322787,0.375886914,0.219858643,115.7994831,1251,11
RY_tot_flow,RY_Wet_Tim,1.953987524,0.015969837,0.328181327,0.160226658,116.609709,1254,11
RY_discon_15,RY_DS_Dur_WS,3.18993007,0.054489638,0.443666355,0.304582944,114.5348859,1255,11
BY_recon_15,RY_SP_Tim,3.388841589,0.53851919,0.458643151,0.323303939,114.2347011,1256,11
RY_discon_10,SY_Wet_Tim,2.505968608,0.146599044,0.385179942,0.231474927,115.6344618,1257,11
RY_discon_15,RY_Wet_BFL_Dur,2.982499404,0.973001123,0.427139228,0.283924035,114.8569055,1264,11
RY_discon_100,RY_Wet_Tim,2.377309716,0.993290955,0.372776268,0.215970335,115.8541721,1265,11
BY_recon_15,SY_Wet_BFL_Dur,2.796397288,0.014392228,0.411452887,0.264316109,115.1540625,1266,11
BY_recon_15,tot_flow_CFLP,2.884065847,0.038488792,0.418948033,0.273685041,115.0130779,1271,11
RY_Wet_Tim,RY_Wet_BFL_Dur,3.563747587,0.546175317,0.471161623,0.338952028,113.9773472,1275,11
RY_Wet_Tim,RY_SP_Tim,3.563747587,0.546175317,0.471161623,0.338952028,113.9773472,1275,11
RY_Wet_BFL_Dur,RY_SP_Tim,3.563747587,0.546175317,0.471161623,0.338952028,113.9773472,1275,11
BY_recon_15,log_tot_flow_CFLP,2.841129167,0.921690558,0.415301202,0.269126503,115.081901,1276,11
log_BY_tot_flow_sepdec,RY_Wet_Tim,2.286847545,0.682327601,0.363751074,0.204688842,116.0113244,1279,11
BY_tot_flow_sepdec,RY_DS_Mag_90,2.254399996,0.022415289,0.360450243,0.200562803,116.0682444,1280,11
BY_tot_flow_sepdec,RY_Wet_Tim,1.950409191,0.079422069,0.327777322,0.159721653,116.6163219,1285,11
RY_discon_20,RY_Wet_Tim,2.676881811,0.865066879,0.400917956,0.251147446,115.3492199,1292,11
BY_recon_20,RY_DS_Mag_90,2.126790046,0.001503031,0.347129578,0.183911973,116.2950012,1293,11
RY_Wet_Tim,RY_DS_Tim,2.512825472,0.901983828,0.385827239,0.232284049,115.6228746,1301,11
RY_Wet_BFL_Dur,RY_DS_Dur_WS,3.092567992,0.692917219,0.436029375,0.295036719,114.6848596,1301,11
RY_Wet_Tim,RY_DS_Mag_50,2.373781234,0.028999744,0.372429041,0.215536302,115.86026,1304,11
RY_discon_15,SY_Wet_Tim,2.464157114,0.157908236,0.381203159,0.226503949,115.7053829,1307,11
log_RY_tot_flow,RY_Wet_Tim,1.887980881,0.972389307,0.320649968,0.15081246,116.7323373,1309,11
RY_discon_10,log_BY_tot_flow_sepdec,3.108587737,0.056536212,0.437300326,0.296625408,114.6600423,1316,11
RY_Wet_Tim,RY_SP_ROC,2.58388547,0.742133722,0.392456017,0.240570022,115.5035061,1316,11
BY_recon_20,RY_discon_10,2.761084482,0.326926556,0.408378935,0.260473669,115.2113655,1318,11
BY_recon_80,RY_Wet_Tim,2.843068411,0.008519496,0.415466899,0.269333624,115.0787833,1318,11
RY_Wet_Tim,RY_DS_Dur_WS,2.14415099,0.064198626,0.348974332,0.186217916,116.2638755,1318,11
log_SY_tot_flow_janjul,RY_Wet_Tim,2.788043853,0.189407974,0.410728615,0.263410769,115.1675909,1322,11
BY_recon_50,log_BY_tot_flow_sepdec,1.998367272,0.175286597,0.33315187,0.166439837,116.5280214,1326,11
BY_recon_20,RY_recon_15,1.783531565,0.002158762,0.308381055,0.135476319,116.9292224,1330,11
log_tot_flow_CFLP,log_BY_tot_flow_sepdec,2.293057824,0.860207795,0.364378953,0.205473692,116.0004638,1333,11
log_BY_tot_flow_sepdec,RY_Wet_BFL_Mag_50,2.068176309,0.12033247,0.340823372,0.176029214,116.4007425,1337,11
RY_recon_100,RY_Wet_Tim,1.846666504,0.048573808,0.315849468,0.144811835,116.8097934,1338,11
log_tot_flow_CFLP,RY_Wet_BFL_Dur,3.056461273,0.778384046,0.433143633,0.291429541,114.7410012,1338,11
log_BY_tot_flow_sepdec,RY_SP_ROC,3.250524844,0.052019653,0.4483158,0.31039475,114.4425694,1339,11
RY_DS_Mag_90,SY_Wet_Tim,2.303306907,0.222860273,0.365412464,0.20676558,115.9825634,1339,11
BY_recon_20,RY_min_flow,1.527755453,0.013281677,0.276378987,0.095473734,117.4267815,1340,11
RY_recon_20,RY_Wet_BFL_Dur,3.111290485,0.689917205,0.437514188,0.296892735,114.6558608,1340,11
RY_Wet_BFL_Dur,SY_Wet_BFL_Dur,3.196526083,0.85958416,0.444176266,0.305220332,114.5247992,1342,11
RY_discon_20,RY_Wet_BFL_Dur,3.023023821,0.859716535,0.430444763,0.288055953,114.7932492,1349,11
RY_discon_50,RY_DS_Dur_WS,2.137479989,0.109860413,0.348266714,0.185333393,116.2758252,1350,11
RY_recon_10,RY_Wet_Tim,3.399780909,0.002197878,0.459443455,0.324304319,114.2184275,1350,11
RY_recon_15,RY_Wet_Tim,3.107171758,0.002705677,0.437188218,0.296485273,114.6622336,1350,11
BY_recon_100,RY_discon_80,3.066074641,0.495388046,0.433914839,0.292393549,114.7260256,1352,11
BY_recon_20,RY_recon_10,1.726172688,0.001821323,0.301453131,0.126816414,117.0388608,1357,11
log_BY_tot_flow_sepdec,log_RY_tot_flow,2.032243233,0.707541825,0.336896765,0.171120957,116.4660733,1362,11
log_BY_tot_flow_sepdec,RY_DS_Tim,2.631865725,0.079901917,0.39685148,0.246064349,115.4236339,1363,11
BY_recon_100,RY_discon_100,3.06597521,0.478125773,0.433906873,0.292383592,114.7261804,1368,11
log_BY_tot_flow_sepdec,RY_DS_Mag_90,3.251727364,0.195274915,0.448407283,0.310509104,114.4407451,1368,11
BY_recon_20,SY_tot_flow_janjul,1.735288128,0.007091482,0.302563374,0.128204218,117.0213639,1373,11
BY_recon_20,RY_DS_Mag_50,2.013510726,0.024804588,0.334831152,0.16853894,116.5002858,1374,11
BY_recon_100,RY_DS_Tim,3.158111228,0.676064956,0.441193372,0.301491715,114.5836741,1377,11
BY_recon_50,BY_FA_Tim,2.311435024,0.031930593,0.536117328,0.304175992,80.89678192,1378,7
log_BY_tot_flow_sepdec,SY_Wet_BFL_Dur,2.091094334,0.128235563,0.343303554,0.179129443,116.3592765,1378,11
